================ Training Loss (Thu Jul 10 09:08:00 2025) ================
(Train - epoch: 4 | iters: 50/56 | time: 4.277) A_RC: -36619752.000 A_RL: 0.006 B_RC: -288293600.000 B_RL: 0.000 A_CY: 6.373 B_CY: 5.247 A_ID: -3261850.250 B_ID: -861600.438 Tot: -329036800.000 
(Train - epoch: 4 | iters: 55/56 | time: 4.410) A_RC: -348010464.000 A_RL: 0.006 B_RC: -21899128.000 B_RL: 0.000 A_CY: 9.589 B_CY: 5.258 A_ID: -3265700.250 B_ID: -689850.375 Tot: -373865152.000 
(Train - epoch: 5 | iters: 5/56 | time: 4.262) A_RC: -11596200.000 A_RL: 0.006 B_RC: -3097500.500 B_RL: 0.000 A_CY: 6.841 B_CY: 5.281 A_ID: -3264850.000 B_ID: -688800.438 Tot: -18647338.000 
(Train - epoch: 5 | iters: 10/56 | time: 4.521) A_RC: -115689008.000 A_RL: 0.006 B_RC: -62437408.000 B_RL: 0.000 A_CY: 6.844 B_CY: 5.276 A_ID: -3271100.000 B_ID: -751300.438 Tot: -182148816.000 
(Train - epoch: 5 | iters: 15/56 | time: 4.115) A_RC: -242342336.000 A_RL: 0.006 B_RC: -75657504.000 B_RL: 0.000 A_CY: 5.511 B_CY: 5.209 A_ID: -3272700.250 B_ID: -524600.438 Tot: -321797152.000 
(Train - epoch: 5 | iters: 20/56 | time: 4.282) A_RC: -525437056.000 A_RL: 0.006 B_RC: -74511704.000 B_RL: 0.000 A_CY: 6.713 B_CY: 5.258 A_ID: -3217800.250 B_ID: -684550.375 Tot: -603851072.000 
(Train - epoch: 5 | iters: 25/56 | time: 4.296) A_RC: -11473902.000 A_RL: 0.007 B_RC: -3322600.500 B_RL: 0.000 A_CY: 6.534 B_CY: 5.309 A_ID: -3231450.250 B_ID: -823300.375 Tot: -18851240.000 
(Train - epoch: 5 | iters: 30/56 | time: 4.323) A_RC: -256663552.000 A_RL: 0.006 B_RC: -52681328.000 B_RL: 0.000 A_CY: 9.445 B_CY: 5.204 A_ID: -3229000.250 B_ID: -580600.500 Tot: -313154496.000 
(Train - epoch: 5 | iters: 35/56 | time: 4.117) A_RC: -8339100.500 A_RL: 0.006 B_RC: -1305400.625 B_RL: 0.000 A_CY: 5.595 B_CY: 5.254 A_ID: -3230950.500 B_ID: -464400.406 Tot: -13339840.000 
(Train - epoch: 5 | iters: 40/56 | time: 4.396) A_RC: -12868900.000 A_RL: 0.006 B_RC: -4117700.500 B_RL: 0.000 A_CY: 6.742 B_CY: 5.226 A_ID: -3227550.250 B_ID: -805600.438 Tot: -21019738.000 
(Train - epoch: 5 | iters: 45/56 | time: 4.358) A_RC: -631142592.000 A_RL: 0.006 B_RC: -219660656.000 B_RL: 0.000 A_CY: 9.161 B_CY: 5.250 A_ID: -3237000.250 B_ID: -582450.438 Tot: -854622720.000 
(Train - epoch: 5 | iters: 50/56 | time: 4.234) A_RC: -30479004.000 A_RL: 0.006 B_RC: -310103808.000 B_RL: 0.000 A_CY: 5.347 B_CY: 5.293 A_ID: -3231850.500 B_ID: -580150.438 Tot: -344394816.000 
(Train - epoch: 5 | iters: 55/56 | time: 4.180) A_RC: -10958101.000 A_RL: 0.006 B_RC: -2607501.000 B_RL: 0.000 A_CY: 6.563 B_CY: 5.229 A_ID: -3237200.250 B_ID: -765400.438 Tot: -17568190.000 
(Train - epoch: 6 | iters: 5/56 | time: 4.062) A_RC: -8358600.000 A_RL: 0.006 B_RC: -1264500.500 B_RL: 0.000 A_CY: 5.595 B_CY: 5.254 A_ID: -3239000.250 B_ID: -467550.438 Tot: -13329639.000 
(Train - epoch: 6 | iters: 10/56 | time: 4.431) A_RC: -177089328.000 A_RL: 0.006 B_RC: -166950208.000 B_RL: 0.000 A_CY: 9.754 B_CY: 5.217 A_ID: -3238350.500 B_ID: -480800.438 Tot: -347758688.000 
(Train - epoch: 6 | iters: 15/56 | time: 4.248) A_RC: -137696720.000 A_RL: 0.007 B_RC: -138220608.000 B_RL: 0.000 A_CY: 6.712 B_CY: 5.315 A_ID: -3231850.500 B_ID: -630200.438 Tot: -279779360.000 
(Train - epoch: 6 | iters: 20/56 | time: 4.472) A_RC: -595794752.000 A_RL: 0.006 B_RC: -95315304.000 B_RL: 0.000 A_CY: 9.055 B_CY: 5.259 A_ID: -3247800.500 B_ID: -604700.438 Tot: -694962560.000 
(Train - epoch: 6 | iters: 25/56 | time: 4.331) A_RC: -278386240.000 A_RL: 0.006 B_RC: -26551402.000 B_RL: 0.000 A_CY: 9.479 B_CY: 5.188 A_ID: -3253600.500 B_ID: -661650.375 Tot: -308852896.000 
(Train - epoch: 6 | iters: 30/56 | time: 4.366) A_RC: -310322752.000 A_RL: 0.006 B_RC: -80171816.000 B_RL: 0.000 A_CY: 9.833 B_CY: 5.194 A_ID: -3246550.500 B_ID: -666900.375 Tot: -394408032.000 
(Train - epoch: 6 | iters: 35/56 | time: 4.199) A_RC: -99423608.000 A_RL: 0.006 B_RC: -141852416.000 B_RL: 0.000 A_CY: 5.306 B_CY: 5.169 A_ID: -3251700.500 B_ID: -584550.438 Tot: -245112272.000 
(Train - epoch: 6 | iters: 40/56 | time: 4.259) A_RC: -30725004.000 A_RL: 0.006 B_RC: -105632704.000 B_RL: 0.000 A_CY: 6.533 B_CY: 5.141 A_ID: -3255900.250 B_ID: -780350.375 Tot: -140393968.000 
(Train - epoch: 6 | iters: 45/56 | time: 4.149) A_RC: -6516800.500 A_RL: 0.007 B_RC: -1162000.875 B_RL: 0.000 A_CY: 5.472 B_CY: 5.286 A_ID: -3258400.250 B_ID: -580750.375 Tot: -11517941.000 
(Train - epoch: 6 | iters: 50/56 | time: 4.422) A_RC: -316507744.000 A_RL: 0.006 B_RC: -28765902.000 B_RL: 0.000 A_CY: 9.557 B_CY: 5.155 A_ID: -3258400.250 B_ID: -656800.438 Tot: -349188832.000 
(Train - epoch: 6 | iters: 55/56 | time: 4.297) A_RC: -22766802.000 A_RL: 0.006 B_RC: -3346800.500 B_RL: 0.000 A_CY: 6.419 B_CY: 5.233 A_ID: -3258400.250 B_ID: -838900.375 Tot: -30210890.000 
(Train - epoch: 7 | iters: 5/56 | time: 4.328) A_RC: -115535616.000 A_RL: 0.006 B_RC: -118568200.000 B_RL: 0.000 A_CY: 6.845 B_CY: 5.277 A_ID: -3237950.250 B_ID: -745900.438 Tot: -238087664.000 
(Train - epoch: 7 | iters: 10/56 | time: 4.207) A_RC: -11000301.000 A_RL: 0.006 B_RC: -2908300.500 B_RL: 0.000 A_CY: 6.563 B_CY: 5.229 A_ID: -3237900.500 B_ID: -745300.438 Tot: -17891790.000 
(Train - epoch: 7 | iters: 15/56 | time: 4.399) A_RC: -186210816.000 A_RL: 0.006 B_RC: -71913808.000 B_RL: 0.000 A_CY: 9.678 B_CY: 5.283 A_ID: -3267500.250 B_ID: -660800.438 Tot: -262052912.000 
(Train - epoch: 7 | iters: 20/56 | time: 4.286) A_RC: -73436096.000 A_RL: 0.006 B_RC: -149738912.000 B_RL: 0.000 A_CY: 6.424 B_CY: 5.289 A_ID: -3264650.250 B_ID: -729400.438 Tot: -227169072.000 
(Train - epoch: 7 | iters: 25/56 | time: 4.282) A_RC: -12084000.000 A_RL: 0.006 B_RC: -17935402.000 B_RL: 0.000 A_CY: 6.466 B_CY: 5.287 A_ID: -3259250.250 B_ID: -767450.375 Tot: -34046092.000 
